date,intercept,beta1,beta2
16632,-11.514344,-0.6932486,0.9879913
16633,-11.621403,-0.6960105,0.9917987
16634,-11.280957,-0.6885427,0.980151
16635,-11.262438,-0.6883625,0.979778
16636,-11.243991,-0.6881827,0.9794063
16637,-11.331752,-0.6907767,0.9830443
16638,-11.124827,-0.6849333,0.9741351
16639,-11.324371,-0.6905915,0.9825134
16640,-11.204589,-0.6873,0.9774239
16641,-10.842563,-0.6775578,0.9621351
16642,-10.824548,-0.6773882,0.9617962
16643,-10.806602,-0.6772191,0.9614585
16644,-10.759854,-0.6756674,0.9589574
16645,-10.744026,-0.6747354,0.9574688
16646,-9.950196,-0.6566718,0.9259775
16647,-10.591689,-0.6774118,0.9613082
16648,-10.252175,-0.666842,0.9447802
16649,-10.235003,-0.6666902,0.9444819
16650,-10.217895,-0.6665389,0.9441847
16651,-10.540415,-0.6780175,0.9617489
16652,-10.564183,-0.6784581,0.9623216
16653,-10.228426,-0.6681422,0.9462278
16654,-10.249143,-0.6690651,0.9474509
16655,-10.269799,-0.6699663,0.9486402
16656,-10.252738,-0.6698137,0.9483383
16657,-10.23574,-0.6696617,0.9480375
16658,-10.17311,-0.6674744,0.9446002
16659,-10.097924,-0.6643059,0.9397665
16660,-10.395237,-0.674692,0.9554995
16661,-10.38857,-0.6745493,0.9551179
16662,-10.01137,-0.6631572,0.9373497
16663,-10.01137,-0.6631572,0.9373497
16664,-9.994747,-0.6630157,0.9370722
16665,-9.810034,-0.656123,0.9266019
16666,-9.128649,-0.6366545,0.8950636
16667,-9.153438,-0.6374682,0.8961687
16668,-8.790025,-0.6228965,0.8743749
16669,-8.451105,-0.6090122,0.853899
16670,-8.43695,-0.6089474,0.8537695
16671,-8.422843,-0.6088827,0.8536402
16672,-9.125397,-0.6322068,0.8918836
16673,-9.118834,-0.631592,0.8908999
16674,-9.686544,-0.6505676,0.9211152
16675,-10.050224,-0.6618884,0.9384763
16676,-9.71582,-0.6528003,0.9243908
16677,-9.69979,-0.6526669,0.9241254
16678,-9.683817,-0.652534,0.9238608
16679,-9.237461,-0.6392781,0.9033376
16680,-9.231632,-0.6387167,0.9024308
16681,-9.535951,-0.6499128,0.9190998
16682,-9.36366,-0.6439142,0.9100618
16683,-9.327691,-0.6426879,0.9081165
16684,-9.312258,-0.6425703,0.9078845
16685,-9.29688,-0.6424531,0.9076532
16686,-9.29082,-0.6423793,0.9073992
16687,-9.643463,-0.6541374,0.925126
16688,-9.638809,-0.6536873,0.9243736
16689,-9.34185,-0.6445951,0.9105523
16690,-9.214394,-0.6400514,0.9037391
16691,-9.199205,-0.6399382,0.9035155
16692,-9.18407,-0.6398253,0.9032927
16693,-8.85953,-0.6285014,0.8863892
16694,-9.288973,-0.6435754,0.9091752
16695,-9.589315,-0.6530702,0.9233459
16696,-9.465297,-0.6493373,0.9176662
16697,-9.165721,-0.6402353,0.9039037
16698,-9.150689,-0.640123,0.9036806
16699,-9.13571,-0.640011,0.9034582
16700,-9.159493,-0.6410331,0.9048008
16701,-9.108457,-0.638879,0.9015782
16702,-8.848978,-0.6295555,0.8877863
16703,-9.006448,-0.6354957,0.8963148
16704,-8.760273,-0.6263614,0.8828663
16705,-8.760273,-0.6263614,0.8828663
16706,-8.745819,-0.626266,0.8826776
16707,-8.731416,-0.6261708,0.8824895
16708,-8.731416,-0.6261708,0.8824895
16709,-8.786076,-0.6281125,0.8851947
16710,-9.029154,-0.6375935,0.8989215
16711,-9.25381,-0.6455817,0.910544
16712,-9.25381,-0.6455817,0.910544
16713,-9.238776,-0.6454662,0.9103136
16714,-9.728107,-0.6563467,0.9278732
16715,-9.76672,-0.6570072,0.9287644
16716,-9.847761,-0.6585653,0.9309907
16717,-9.633342,-0.6541273,0.9241374
16718,-9.633342,-0.6541273,0.9241374
16719,-9.617941,-0.6540017,0.9238806
16720,-9.602592,-0.6538765,0.9236246
16721,-9.338846,-0.6476391,0.9141042
16722,-9.463246,-0.6509082,0.9188175
16723,-9.573376,-0.6535517,0.9226238
16724,-9.371349,-0.648618,0.9151283
16725,-9.260703,-0.6455432,0.9104711
16726,-9.245795,-0.6454284,0.9102401
16727,-9.230939,-0.6453139,0.9100098
16728,-9.210677,-0.6447778,0.9090806
16729,-8.531952,-0.632601,0.888395
16730,-7.958192,-0.6174347,0.8647092
16731,-8.000491,-0.6194819,0.8674888
16732,-8.238484,-0.6294003,0.8816738
16733,-8.225011,-0.6293189,0.8815113
16734,-8.211583,-0.6292377,0.8813493
16735,-7.96078,-0.6200907,0.8679875
16736,-7.736729,-0.6111881,0.8551563
16737,-7.744417,-0.6112826,0.8552067
16738,-7.486629,-0.6015655,0.8412498
16739,-7.917261,-0.61731,0.8644559
16740,-7.904319,-0.6172395,0.8643141
16741,-7.89142,-0.6171692,0.8641726
16742,-7.805826,-0.613898,0.8594154
16743,-8.028464,-0.622657,0.8718633
16744,-8.052293,-0.6233518,0.8727707
16745,-7.547258,-0.6092923,0.8513596
16746,-7.558547,-0.6100063,0.8522446
16747,-7.546199,-0.6099465,0.8521231
16748,-7.533893,-0.6098869,0.8520019
16749,-7.496647,-0.6085726,0.8500336
16750,-7.455129,-0.6066433,0.8472396
16751,-7.36338,-0.6027052,0.8416249
16752,-7.501692,-0.6087332,0.8499884
16753,-7.27798,-0.6004837,0.838172
16754,-7.266116,-0.6004313,0.8380652
16755,-7.254291,-0.6003791,0.8379586
16756,-7.282074,-0.601801,0.8398265
16757,-7.27291,-0.6012333,0.8389499
16758,-7.485044,-0.6096507,0.8507655
16759,-7.414642,-0.6070529,0.8469917
16760,-7.293721,-0.6025055,0.8404807
16761,-7.281876,-0.6024516,0.8403719
16762,-7.27007,-0.6023978,0.8402633
16763,-7.114979,-0.5965807,0.8319889
16764,-7.630473,-0.6114827,0.8548114
16765,-7.89939,-0.6210397,0.86849
16766,-7.645082,-0.6127606,0.8564162
16767,-7.508796,-0.6078882,0.8494022
16768,-7.496659,-0.6078271,0.8492797
16769,-7.484563,-0.6077662,0.8491574
16770,-7.398282,-0.604642,0.8446525
16771,-7.35671,-0.6028157,0.8420151
16772,-7.347757,-0.6022699,0.8411694
16773,-7.359384,-0.6029564,0.8420089
16774,-7.187828,-0.5967671,0.833209
16775,-7.176226,-0.5967143,0.8331028
16776,-7.164662,-0.5966615,0.8329968
16777,-6.992927,-0.5904141,0.8241692
16778,-7.016145,-0.5911962,0.8251644
16779,-7.039422,-0.5919756,0.8261564
16780,-6.883792,-0.586328,0.8182035
16781,-6.586124,-0.5767235,0.8045799
16782,-6.575503,-0.5766828,0.8044976
16783,-6.564916,-0.5766422,0.8044155
16784,-6.689832,-0.5818018,0.8114034
16785,-7.00862,-0.5928324,0.8270004
16786,-6.96597,-0.5910368,0.8244285
16787,-7.074388,-0.5954909,0.8304992
16788,-7.037085,-0.5942906,0.8287174
16789,-7.025793,-0.5942393,0.8286158
16790,-7.014536,-0.5941881,0.8285144
16791,-7.519816,-0.6068704,0.8482
16792,-7.684949,-0.612281,0.8557897
16793,-7.351947,-0.6029405,0.8420634
16794,-7.076083,-0.5944092,0.8297954
16795,-7.076083,-0.5944092,0.8297954
16796,-7.064756,-0.5943566,0.8296906
16797,-7.053466,-0.594304,0.8295861
16798,-7.145328,-0.5979444,0.8345338
16799,-7.002333,-0.5927816,0.8272348
16800,-6.806702,-0.5859424,0.8175969
16801,-6.806702,-0.5859424,0.8175969
16802,-6.806702,-0.5859424,0.8175969
16803,-6.795809,-0.5858955,0.8175033
16804,-6.784952,-0.5858486,0.8174099
16805,-6.924428,-0.5912999,0.8248485
16806,-6.97994,-0.5932332,0.8274384
16807,-6.801497,-0.5869897,0.8186397
16808,-6.62889,-0.581165,0.810457
16809,-6.259314,-0.5714954,0.7964387
16810,-6.249307,-0.5714571,0.7963627
16811,-6.239332,-0.5714189,0.7962869
